map_id	positions	path	name	passive_ids	special_objects	object_classes	dungeons	known_dungeon_53
212	4	map/Mirkwood/212.map	PVP无名	[3 4 221 245 283]	object=221 -> monster=1 level=3 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=4 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=3/scripted=0/other=0	dungeon=3(ownership)	false
214	4	map/Mirkwood/214.map	PVP无名	[3 4 221 227 246]	object=221 -> monster=3 level=4 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=4 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=3/scripted=0/other=0	dungeon=3(ownership)	false
215	4	map/Mirkwood/215.map	PVP无名	[3 4 221 231]	object=221 -> monster=3 level=4 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=4 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=4/scripted=0/other=0	dungeon=3(ownership)	false
216	4	map/Mirkwood/216.map	PVP无名	[3 4 221 226 227]	object=1015 -> monster=2 level=4 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=221 -> monster=4 level=4 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=4 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=5/scripted=0/other=0	dungeon=3(ownership)	false
218	4	map/Mirkwood/219.map	PVP无名	[3 4 221 231 286]	object=1015 -> monster=2 level=4 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=221 -> monster=1 level=4 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=4 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=7/scripted=0/other=0	dungeon=3(ownership)	false
219	4	map/Mirkwood/221.map	PVP无名	[3 4 221 222 227]	object=221 -> monster=1 level=4 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=1 level=4 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=3/scripted=0/other=0	dungeon=3(ownership)	false
220	4	map/Mirkwood/222.map	PVP无名	[3 4 221 222]	object=221 -> monster=1 level=4 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=1 level=4 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=2/scripted=0/other=0	dungeon=3(ownership)	false
221	4	map/Mirkwood/b201.map	PVP无名	[3 4 221 231 245 282 283 286]	object=1015 -> monster=2 level=4 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=2 level=4 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=221 -> monster=3 level=4 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=4 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=10/scripted=0/other=0	dungeon=3(ownership)	false
222	4	map/Mirkwood/b202.map	PVP无名	[3 4 221 227 231 245 246 282]	object=1015 -> monster=2 level=4 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=221 -> monster=3 level=4 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=8/scripted=0/other=0	dungeon=3(ownership)	false
228	4	map/Mirkwood/e204.map	PVP无名	[3 4 231 245 282]	object=221 -> monster=1 level=4 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=4 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=4/scripted=0/other=0	dungeon=3(ownership)	false
230	4	map/Mirkwood/n202.map	PVP无名	[3 4 221 281 284]	object=221 -> monster=1 level=4 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=5 level=4 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=3/scripted=0/other=0	dungeon=3(ownership)	false
231	4	map/Mirkwood/n203.map	PVP无名	[3 4 221 231]	object=221 -> monster=1 level=4 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=2 level=4 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=3/scripted=0/other=0	dungeon=3(ownership)	false
232	4	map/Mirkwood/n204.map	PVP无名	[3 4 221 231 245 282]	object=221 -> monster=1 level=4 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=4 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=4/scripted=0/other=0	dungeon=3(ownership)	false
238	4	map/Mirkwood/h201.map	PVP无名	[3 4 221 227 246]	object=221 -> monster=3 level=4 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=4 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=4 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=4 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=5/scripted=0/other=0	dungeon=3(ownership)	false
239	4	map/Mirkwood/b203.map	PVP无名	[3 4 221]	object=221 -> monster=1 level=3 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=4 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=4 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=1/scripted=0/other=0	dungeon=3(ownership)	false
240	4	map/Mirkwood/b204.map	PVP无名	[3 4 221 282 286]	object=1015 -> monster=3 level=4 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=4 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj	presentation=2/declared=4/scripted=0/other=0	dungeon=3(ownership)	false
403	4	map/MirkwoodDeep/403.map	PVP无名	[3 4]	object=221 -> monster=1 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=1 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=5 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=5 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=6 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=1/scripted=0/other=0	dungeon=4 maze=0 (1,3) spec:map; dungeon=4(ownership)	false
405	4	map/MirkwoodDeep/405.map	PVP无名	[3 4]	object=1015 -> monster=3 level=5 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=221 -> monster=6 level=6 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=2/scripted=0/other=0	dungeon=4 maze=0 (0,2) spec:map; dungeon=4(ownership)	false
406	4	map/MirkwoodDeep/406.map	PVP无名	[3 4 282]	object=221 -> monster=2 level=4 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=4/scripted=0/other=0	dungeon=4 maze=0 (1,3) spec:map; dungeon=4(ownership)	false
407	4	map/MirkwoodDeep/407.map	PVP无名	[3 4 281]	object=1015 -> monster=3 level=5 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=5 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=6 level=5 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj	presentation=2/declared=3/scripted=0/other=0	dungeon=4 maze=0 (1,2) spec:map; dungeon=4(ownership)	false
408	4	map/MirkwoodDeep/408.map	PVP无名	[3 4]	object=1015 -> monster=2 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj	presentation=2/declared=3/scripted=0/other=0	dungeon=4 maze=0 (2,2) spec:map; dungeon=4(ownership)	false
409	4	map/MirkwoodDeep/409.map	PVP无名	[3 4]	object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=6 level=5 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj	presentation=2/declared=2/scripted=0/other=0	dungeon=4 maze=0 (0,1) spec:map; dungeon=4(ownership)	false
410	4	map/MirkwoodDeep/410.map	PVP无名	[3 4 221 231]	object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=6 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj	presentation=2/declared=4/scripted=0/other=0	dungeon=4(ownership)	false
411	4	map/MirkwoodDeep/411.map	PVP无名	[3 4 221]	object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=6 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=6 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=221 -> monster=3 level=5 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=5 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=5 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=6 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=2/scripted=0/other=0	dungeon=4 maze=0 (1,1) spec:map; dungeon=4(ownership)	false
412	4	map/MirkwoodDeep/412.map	PVP无名	[3 4 283]	object=221 -> monster=4 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=6 level=6 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=5/scripted=0/other=0	dungeon=4 maze=0 (2,1) spec:map; dungeon=4(ownership)	false
413	4	map/MirkwoodDeep/413.map	PVP无名	[3 4 245 246 261 282]	object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=6 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=6 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj	presentation=2/declared=7/scripted=0/other=0	dungeon=4 maze=0 (0,0) spec:map; dungeon=4 maze=0 (1,0) spec:map; dungeon=4(ownership)	false
414	4	map/MirkwoodDeep/414.map	PVP无名	[3 4 245 246 261 286]	object=221 -> monster=3 level=5 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=6 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=6/scripted=0/other=0	dungeon=4 maze=0 (2,1) spec:map; dungeon=4(ownership)	false
415	4	map/MirkwoodDeep/415.map	PVP无名	[3 4 282 284 286]	object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=6 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=7/scripted=0/other=0	dungeon=4 maze=0 (0,0) spec:map; dungeon=4 maze=0 (1,0) spec:map; dungeon=4(ownership)	false
416	4	map/MirkwoodDeep/416.map	PVP无名	[3 4 245 246 261 281]	object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=6 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=6 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj	presentation=2/declared=6/scripted=0/other=0	dungeon=4 maze=0 (2,0) spec:map; dungeon=4(ownership)	false
417	4	map/MirkwoodDeep/417.map	PVP无名	[3 4 281]	object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=6 level=5 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj	presentation=2/declared=4/scripted=0/other=0	dungeon=4 maze=0 (0,1) spec:map; dungeon=4(ownership)	false
418	4	map/MirkwoodDeep/418.map	PVP无名	[3 4]	object=1015 -> monster=3 level=5 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=221 -> monster=6 level=6 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=2/scripted=0/other=0	dungeon=4 maze=0 (0,2) spec:map; dungeon=4(ownership)	false
419	4	map/MirkwoodDeep/419.map	PVP无名	[3 4 231]	object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj	presentation=2/declared=2/scripted=0/other=0	dungeon=4 maze=0 (2,2) spec:map; dungeon=4(ownership)	false
420	4	map/MirkwoodDeep/420.map	PVP无名	[3 4 221 281 282]	object=1015 -> monster=3 level=5 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=5 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=6 level=5 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj	presentation=2/declared=5/scripted=0/other=0	dungeon=4 maze=0 (1,2) spec:map; dungeon=4(ownership)	false
421	4	map/MirkwoodDeep/421.map	PVP无名	[3 4 221 286]	object=221 -> monster=5 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=6 level=7 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=2/scripted=0/other=0	dungeon=4(ownership)	false
422	4	map/MirkwoodDeep/422.map	PVP无名	[3 4 221]	object=1015 -> monster=2 level=5 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=5 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=6 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=221 -> monster=3 level=5 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=5 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=5 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=6 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=3/scripted=0/other=0	dungeon=4(ownership)	false
423	4	map/MirkwoodDeep/423.map	PVP无名	[3 4 221 231 282 283]	object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=6 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj	presentation=2/declared=6/scripted=0/other=0	dungeon=4(ownership)	false
424	4	map/MirkwoodDeep/424.map	PVP无名	[3 4 221 245 246 261 282]	object=1015 -> monster=2 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=2 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=2 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=221 -> monster=2 level=5 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=2 level=5 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=2 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=2 level=6 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=7/scripted=0/other=0	dungeon=4 maze=0 (1,1) spec:map; dungeon=4(ownership)	false
426	4	map/MirkwoodDeep/426.map	PVP无名	[3 4 282 284 286]	object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=6 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=7/scripted=0/other=0	dungeon=4(ownership)	false
428	4	map/MirkwoodDeep/b416.map	PVP无名	[3 4 283]	object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=5 level=7 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=6 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=6 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj	presentation=2/declared=3/scripted=0/other=0	dungeon=4(ownership)	false
432	4	map/MirkwoodDeep/e403(1,0).map	PVP无名	[3 4]	object=221 -> monster=3 level=5 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=2/scripted=0/other=0	dungeon=4(ownership)	false
433	4	map/MirkwoodDeep/e409(3,0).map	PVP无名	[3 4 221 283]	object=221 -> monster=3 level=5 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=3/scripted=0/other=0	dungeon=4(ownership)	false
434	4	map/MirkwoodDeep/e421(1,3).map	PVP无名	[3 4 221 283]	object=221 -> monster=3 level=5 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=3/scripted=0/other=0	dungeon=4(ownership)	false
435	4	map/MirkwoodDeep/e427(3,3).map	PVP无名	[3 4]	object=221 -> monster=4 level=5 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=2/scripted=0/other=0	dungeon=4(ownership)	false
436	4	map/MirkwoodDeep/n404(1,0).map	PVP无名	[3 4]	object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=3 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=1015 -> monster=4 level=6 ref=MapObject/Trap/GoblinBunker/GoblinBunker.obj; object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=6 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=3/scripted=0/other=0	dungeon=4(ownership)	false
437	4	map/MirkwoodDeep/n405(1,1).map	PVP无名	[3 4 221 231 281 282 286]	object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=6 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=6/scripted=0/other=0	dungeon=4(ownership)	false
438	4	map/MirkwoodDeep/n406(1,1).map	PVP无名	[3 4 221 231 281]	object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=6 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=4/scripted=0/other=0	dungeon=4(ownership)	false
439	4	map/MirkwoodDeep/n410(3,0).map	PVP无名	[3 4 286]	object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=3/scripted=0/other=0	dungeon=4(ownership)	false
440	4	map/MirkwoodDeep/n411(2,0).map	PVP无名	[3 4 221 286]	object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=6 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=4/scripted=0/other=0	dungeon=4(ownership)	false
441	4	map/MirkwoodDeep/n412(2,0).map	PVP无名	[3 4 221 231]	object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=4 level=6 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=3/scripted=0/other=0	dungeon=4(ownership)	false
442	4	map/MirkwoodDeep/n413(2,1).map	PVP无名	[3 4 221 283]	object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=4/scripted=0/other=0	dungeon=4(ownership)	false
443	4	map/MirkwoodDeep/n414(2,1).map	PVP无名	[3 4 221 283]	object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj; object=221 -> monster=3 level=6 ref=MapObject/BreakableObject/Barrel.obj	presentation=2/declared=4/scripted=0/other=0	dungeon=4(ownership)	false
