count	signature	example_object_ids
32	basic action+etc action+hp destroy+hp max+pass type+piercing power	[8032 8058 8152 8324 8326 8331 8461 8500 8940 10240]
32	passive object sub type+passive object type	[19103 19104 19105 19106 19107 19108 19109 19110 19111 19112]
31	basic action+hp destroy+hp max+pass type+piercing power	[8033 8180 8181 8182 8183 8333 8502 8816 8818 8819]
30	basic action+etc action+hp destroy+hp max+pass type+piercing power+team	[8440 8442 8920 19095 39049 39051 53573 53585 70829 70848]
27	attack info+basic action+pass type+piercing power	[10383 10532 10552 10609 18107 19137 19138 19139 35674 35677]
27	basic action+etc action+hp destroy+hp max+pass type	[8144 8730 10463 10583 10607 10608 16142 16143 16144 16145]
25	basic action+hp max+pass type+team	[8766 11254 11257 11271 11273 11275 11299 11300 11302 11307]
24	attack info+basic action+piercing power	[74004 2090015 2090041 2090044 2090045 2090049 2090050 2090051 2090052 2090054]
24	basic action+hp destroy+hp max+max distance+min distance+pass type+piercing power+warning	[10670 10671 10672 10679 11227 11228 11229 11235 15090 15099]
23	basic action+etc action+etc attack info+pass type	[18976 52843 57755 62169 62174 62175 74031 74032 74033 74035]
23	basic action+etc action+etc attack info+team	[8593 18734 18791 39095 39097 39098 54946 54947 54949 70480]
21	basic action+etc action+etc attack info+ignore change map+pass type	[52884 52895 52896 52897 52898 52899 52900 52901 52902 52903]
21	basic action+etc action+etc attack info+piercing power+team	[11201 15164 15208 39062 57647 69267 80375 86075 86076 86077]
20	basic action+etc action+hp max+pass type+team	[8985 11259 11262 11264 11276 11283 11285 11287 11303 11305]
20	basic action+etc action+etc attack info+piercing power	[15206 16126 57650 57651 57652 57653 57654 63587 63609 63626]
19	basic action+hp destroy+hp max+is hp by difficulty+pass type+team	[10673 10674 11230 11231 18162 18163 18164 18165 68001 68002]
18	basic action+etc action+hp max+pass type+piercing power	[48386 48395 48404 48413 82054 85031 109000576 109000577 109006910 109006911]
18	basic action+etc attack info+hp destroy+hp gage+hp gage visible time+hp max+pass type+team	[71023 71024 71031 71033 71034 71035 71036 71040 71041 71042]
17	basic action+etc action+etc attack info+hp destroy+hp gage+hp gage visible time+hp max+last action+pass type+piercing power+team	[71081 71082 71083 71085 71101 71102 71104 71105 71107 71109]
17	basic action+hp destroy+hp max+last action+pass type	[8143 12013 18112 18935 18956 37002 52824 52911 52912 52922]
16	basic action+etc action+etc attack info+pass type+piercing power+team	[10658 15089 54973 57593 69204 69205 69206 69207 69208 80362]
16	auto skip when nothing quest+passive object sub type+passive object type	[19062 19079 19092 19120 19527 19528 19529 19530 39717 39722]
16	attack info+basic action+etc action+etc attack info+piercing power+team	[15292 15296 15297 18726 18795 19749 19795 48359 61530 61599]
15	attack info+basic action+pass type+piercing power+team	[8458 10285 15160 15161 54228 54229 54230 54231 200475 200476]
14	basic action+etc action+hp destroy+hp max+pass type+team	[19063 19064 19065 19090 57696 57700 68218 68219 68279 68280]
13	pass type+team	[9481 9485 10146 10147 10232 10233 10234 17014 17017 17018]
13	basic action+ignore change map+pass type+piercing power+team	[69100 69101 69102 69103 69104 69105 69106 69107 69108 69109]
12	basic action+etc action+last action+pass type+piercing power+team	[64228 64285 69003 69294 69295 69296 69297 69298 69299 69300]
12	basic action+etc action+hp max+pass type	[10405 10581 10582 10585 10586 10587 121141 109006750 109006958 109006961]
12	attack info+basic action+etc action+pass type+piercing power	[8018 10289 10291 10590 18442 18444 54807 54865 55005 55015]
11	(missing)	[39111 39112 70704 70705 70706 70707 72227 72228 200026 200027]
11	basic action+hp destroy+hp max+is hp by difficulty+pass type+piercing power	[11239 64080 64081 64095 64096 64098 64099 64100 72140 72141]
11	basic action+etc action+etc attack info+hp destroy+hp max+pass type+team	[19101 37003 85112 109002445 109002448 109006436 109006437 109006438 109006439 109006440]
11	basic action+etc action+hp destroy+hp max+is hp by difficulty+team	[11333 11336 11337 15247 15256 18048 18049 48430 48431 48440]
11	basic action+hp destroy+hp max+last action+pass type+piercing power+team	[37254 37255 37256 53567 53743 53744 53776 53777 57627 72325]
11	basic action+piercing power	[63514 76004 76052 80310 80414 109007270 109007271 109007272 109022220 109022221]
11	hp destroy+hp max+pass type+team	[9480 9484 10143 10145 10148 16805 17001 17005 17011 35103]
10	basic action+hp destroy+hp max+is hp by difficulty+pass type+piercing power+team	[18460 18461 18462 18463 53551 53552 53575 53576 69134 69135]
10	basic action+etc action+etc attack info+hp max+pass type+piercing power+team	[37128 37129 37130 37131 37132 70717 70718 70719 70720 70721]
10	basic action+piercing power+team	[54962 54963 54964 54965 54966 54969 57671 74270 109007497 109007498]
10	basic action+hp max+pass type+piercing power	[109000579 109006923 109006924 109006927 109006928 109006929 109006930 109006931 109006932 109006983]
9	basic action+hp destroy+hp max+last action+team	[18798 18884 18885 18886 18887 19798 61602 70544 109000496]
9	basic action+etc action+etc attack info+last action	[19097 19098 19099 19100 67044 69226 85107 107002536 109004810]
9	basic action+last action	[18819 18930 56040 56083 67027 72310 85120 107002535 109000518]
9	basic action+create delay	[15455 15456 15462 15472 15473 61338 61339 61340 61341]
9	attack info+basic action+etc action+etc attack info+last action+pass type+piercing power	[18674 18821 18822 19712 19815 19816 61493 61625 61626]
9	basic action+hp destroy+pass type	[9995 9996 9997 9998 72012 121158 121159 121160 121161]
8	basic action+etc action+piercing power	[57766 68320 69266 76131 2092115 2092116 2092117 2092118]
8	create delay+pass type+piercing power	[9389 9390 9391 9392 11057 11060 35063 35064]
8	basic action+etc action+hp destroy+hp max+object destroy condition+pass type	[10199 10501 10502 10506 35120 35134 35341 61860]
8	basic action+etc action+etc attack info+hp destroy+hp gage+hp gage visible time+hp max+last action+pass type+team	[71091 71092 71095 71121 71125 71127 71128 71130]
8	basic action+hp destroy+pass type+team	[54335 54336 54337 54338 54339 54643 125128 125129]
8	basic action+etc action+object destroy condition+pass type+piercing power+team	[10606 10610 57648 69291 80454 80456 80458 82028]
8	basic action+hp destroy+pass type+piercing power	[8315 8316 8317 8318 8319 8320 8322 76325]
8	basic action+etc action+etc attack info+vanish on move collision	[15353 18334 18335 18336 18337 18338 121464 121465]
8	attack info+basic action+etc action+etc attack info+hp destroy+pass type+piercing power+team+vanish on move collision	[18075 18076 18077 18078 18079 18087 120725 120793]
8	basic action+etc action+etc attack info+hp destroy+hp gage+hp gage visible time+hp max+pass type+passive object type+team	[71011 71012 71013 71014 71016 71017 71019 71020]
7	basic action+hp destroy+hp max+pass type+piercing power+team+vanish on move collision	[13098 15046 15047 16017 16019 121184 121185]
7	basic action+etc action+etc attack info+last action+team	[15538 19981 61316 70296 70485 200401 109006098]
7	basic action+object destroy condition+pass type+piercing power	[9895 13082 19269 83048 121217 2092122 109007490]
7	basic action+etc action+etc attack info+hp max+ignore change map+piercing power+vanish on move collision	[52931 52932 52933 52934 52935 52936 52937]
7	basic action+etc action+hp destroy+hp max+last action+pass type	[80460 200157 200158 200159 200160 200161 200162]
7	basic action+etc action+etc attack info+hp destroy+hp max+last action+piercing power+team	[69274 69275 69276 80392 80393 80394 109018872]
7	basic action+hp destroy+hp max+is hp by difficulty+pass type	[15216 15217 15218 120804 120805 120806 120825]
7	hp destroy+hp max+object destroy condition+pass type	[10421 10422 10423 10446 10447 10448 35339]
7	attack info+basic action+pass type	[10691 19537 19538 19539 19540 19541 19545]
7	basic action+etc action+ignore change map+pass type	[18458 37084 37101 37223 54942 54971 68055]
7	basic action+etc action+etc attack info+hp destroy+hp max	[18539 18540 18541 18545 18546 18547 109000504]
6	attack info+basic action+hp destroy+object destroy condition+pass type+piercing power	[2092444 2092445 2092447 2092451 2092453 2092457]
6	basic action+pass type+piercing power+vanish on move collision	[19248 19249 19264 53685 57664 86002]
6	basic action+hp max+piercing power	[82049 82052 85059 85060 109000544 109000546]
6	basic action+team	[19131 54434 54435 61902 83073 200109]
6	attack info+pass type	[2001 2100 2200 2500 2600 17031]
6	attack info+basic action+etc action+etc attack info+piercing power	[19123 19124 19125 19126 56046 69197]
6	basic action+etc action+etc attack info+hp destroy+hp max+last action+pass type	[15165 18531 18535 48363 74090 120775]
6	basic action+hp destroy+hp max+object destroy condition+pass type+team	[18068 18081 80331 120856 120857 109018911]
6	basic action+etc action+last action+pass type+team	[61988 61998 61999 63630 80020 80021]
6	basic action+etc action+etc attack info+hp destroy+hp gage+hp max+is hp by difficulty+pass type+piercing power+team+vanish on move collision	[15449 19922 61257 70237 109006030 109006039]
6	basic action+etc action+hp max+pass type+piercing power+team	[11191 15038 16036 48449 120791 2092101]
6	basic action+draw hit object hp+etc action+hp destroy+hp max+is hp by difficulty+pass type+piercing power	[64060 64062 64064 64066 64251 64287]
6	basic action+hp destroy+hp max+last action+pass type+team	[8612 52930 52941 54497 67007 67046]
5	basic action+etc action+hp destroy+hp gage+hp max+is hp by difficulty+max distance+min distance+pass type+piercing power+team+warning	[11215 19533 19534 19535 19536]
5	basic action+etc action+etc attack info+hp destroy+hp max+is hp by difficulty+piercing power+team	[63263 76090 76091 76092 76093]
5	basic action+hp destroy+hp gage+hp max+last action+pass type+team	[54948 57592 74094 85004 85005]
5	basic action+etc action+etc attack info+hp destroy+hp max+max distance+min distance+pass type+piercing power+warning	[15091 15092 121264 121318 121319]
5	basic action+hp destroy+hp max+ignore change map+pass type	[18296 18297 37104 37269 37270]
5	basic action+etc action+hp destroy+hp max+is hp by difficulty+pass type+piercing power+team	[9905 19251 64230 64243 64276]
5	basic action+etc action+team	[54315 54316 67080 109007043 109007049]
5	ai flag+passive object sub type+passive object type+time	[54831 54833 54834 54836 200135]
5	basic action+hp destroy+hp max+last action+pass type+piercing power	[19096 19102 76339 80316 109004863]
5	basic action+last action+pass type	[56082 64028 64040 69323 74089]
5	basic action+etc action+etc attack info+hp destroy+hp max+last action+team	[18739 67057 67058 67059 67095]
5	basic action+draw hit object hp+etc action+etc attack info+hp destroy+hp max+pass type+team	[71111 71114 71115 71117 71118]
5	attack info+basic action+etc action+hp destroy+hp max+is hp by difficulty+last action+pass type+piercing power+team	[10006 10015 10033 85119 85127]
5	basic action+hp max+pass type	[8563 8564 8565 8824 109007050]
5	attack info+basic action+hp destroy+hp gage+hp gage visible time+hp max+pass type+piercing power+team	[71001 71004 71005 71007 71009]
4	basic action+last action+pass type+piercing power+vanish on move collision	[18443 18491 56017 69313]
4	basic action+hp destroy+hp gage+hp max+is hp by difficulty+pass type+team	[80247 80248 80249 80250]
4	basic action+etc action+etc attack info+is hp by difficulty+pass type+piercing power+team	[15440 19913 61248 70228]
4	attack info+basic action+etc action+hp destroy+hp max+pass type+piercing power+team+vanish on move collision	[18123 52823 69305 69306]
4	basic action+etc action+pass type+piercing power+vanish on move collision	[16021 18471 69184 76101]
4	basic action+etc action+hp destroy+piercing power+piercing tolerance	[57744 57745 57746 57747]
4	basic action+hp destroy+hp max+is hp by difficulty+max distance+min distance+pass type+team+warning	[10675 11232 15104 16113]
4	down arrow data+passive object sub type+passive object type+time	[121016 121032 121033 121040]
4	basic action+etc action+etc attack info+hp max+last action+pass type+piercing power	[18862 18863 18892 18893]
4	basic action+etc action+etc attack info+hp destroy+hp gage+hp max+last action+team	[18731 18820 70477 70566]
4	attack info+can beat index+hp destroy+hp max+pass type	[10269 10273 10274 54496]
4	basic action+last action+object destroy condition+piercing power	[109000538 109000539 109000540 109000541]
4	basic action+hp destroy+hp gage+hp max+last action+pass type	[18568 56067 68214 68215]
4	basic action+hp destroy+hp max+object destroy condition+pass type+piercing power	[9329 9467 120104 400102]
4	basic action+object destroy condition+pass type+piercing power+team	[8769 74284 400106 400107]
4	down arrow data+passive object sub type+passive object type+target object index+target object type+time	[121022 121025 121026 121035]
4	passive object sub type+passive object type+time	[54832 121010 121013 121041]
4	basic action+etc action+hp destroy+hp max+last action+pass type+piercing power+team	[15043 16039 16040 69001]
4	index+pass type+passive object+speed+speed control passive objects+team	[9043 9054 35092 35105]
4	basic action+etc action+piercing power+team	[57649 68306 68308 85182]
4	basic action+draw hit object hp+hp destroy+hp max+passive object type+team	[71071 71074 71075 71077]
4	basic action+etc action+last action+pass type+piercing power	[82048 82053 85058 85061]
4	basic action+hp destroy+hp max+object destroy condition+pass type	[10157 10424 10449 35338]
4	pass type+reward type	[779 853 861 862]
4	hp destroy+hp max+pass type+piercing power	[8153 8154 8251 76363]
4	basic action+etc action+etc attack info+hp destroy+hp max+pass type	[62096 64027 85106 85111]
4	attack info+pass type+passive object type+piercing power	[866 881 882 883]
4	basic action+etc action+hp destroy+pass type	[16003 16009 37073 37077]
4	attack info+basic action+etc action+etc attack info+pass type+piercing power	[8732 74139 76368 85104]
4	attack info+basic action+etc action+hp destroy+hp max+pass type+piercing power+team	[37227 37228 37229 37230]
4	basic action+etc attack info	[80286 80287 85187 109000255]
3	basic action+etc action+hp max+is hp by difficulty+pass type	[11392 19261 109018940]
3	attack info+basic action+etc action+pass type	[8550 18532 80314]
3	basic action+hp destroy+hp max+is hp by difficulty+last action+pass type+piercing power	[64067 64179 64180]
3	attack info+basic action+piercing power+team	[18951 74269 109000618]
3	basic action+etc action+hp destroy+hp max+is hp by difficulty+pass type	[54911 64216 64250]
3	basic action+last action+piercing power	[69293 80367 85065]
3	basic action+etc action+etc attack info+last action+piercing power+team	[15163 76095 83093]
3	attack info+basic action+hp destroy+hp max+is hp by difficulty+pass type+piercing power+team	[9019 9020 86027]
3	basic action+last action+pass type+piercing power	[15125 15126 80449]
3	attacker+basic action+pass type+team+territory combat team	[68269 68281 125170]
3	basic action+hp max+last action+team	[53833 56003 56009]
3	basic action+etc attack info+pass type	[109000249 109000250 109000251]
3	basic action+etc attack info+team	[39096 39113 82026]
3	basic action+hp destroy+hp gage+hp max+is hp by difficulty+last action+pass type	[69160 69161 69162]
3	basic action+etc action+ignore change map+last action+pass type	[37224 37271 37279]
3	basic action+defender+pass type+team+territory combat team	[68270 68282 125171]
3	basic action+etc action+etc attack info+hp destroy+hp max+pass type+piercing power+team	[72283 72284 72285]
3	basic action+hp destroy+hp max+last action+piercing power	[15166 18864 53010]
3	basic action+etc action+etc attack info+pass type+team	[67070 76096 76107]
3	basic action+etc action+hp destroy+hp max+is hp by difficulty+pass type+team	[15102 15103 19544]
3	basic action+etc action+etc attack info+hp max+ignore change map	[18295 52878 109001824]
3	basic action+last action+pass type+team	[69303 109018861 109021446]
3	basic action+hp destroy+hp max+pass type+reward type+team	[8961 8963 57691]
3	basic action+etc action+etc attack info+sniper type+wait time	[15227 69290 120753]
3	attack info+basic action+etc action+etc attack info+hp max+pass type+piercing power+team	[18542 18543 18544]
3	pass type+piercing power+team	[16026 16027 80453]
3	down arrow data+look direction+passive object sub type+passive object type+target object index+target object type+time	[121021 121023 121042]
3	basic action+etc action+hp destroy+hp gage+hp max+is hp by difficulty+pass type	[14074 14075 54438]
3	basic action+etc action+hp destroy+hp max	[57699 57756 57757]
3	attack info+basic action+etc action+hp max+is hp by difficulty+object destroy condition+pass type+piercing power+team	[11341 11344 18073]
3	attack info+basic action+object destroy condition+pass type+piercing power+team	[8624 19024 2092106]
3	basic action+pass type+vanish on move collision	[16316 18091 401006]
2	ai flag+is force pattern+look direction+passive object sub type+passive object type+set pos+target object index+target object type+time	[54846 54850]
2	basic action+etc action+object destroy condition+pass type+piercing power+quest type+team	[10601 13099]
2	basic action+etc action+hp destroy+pass type+piercing power+team	[69314 69315]
2	attack info+basic action+object destroy condition+pass type+piercing power+team+vanish on move collision	[2092108 2092109]
2	gate keeper+pass type	[30397 30398]
2	basic action+etc action+etc attack info+hp destroy+hp max+max distance+min distance+pass type+piercing power+team+warning	[85160 85161]
2	attack info+basic action+etc action+etc attack info+piercing power+vanish on move collision	[15340 18325]
2	basic action+object destroy condition+piercing power	[2092125 2092126]
2	basic action+hp destroy+hp max+last action+pass type+piercing power+trap	[8800 8809]
2	basic action+etc action+last action+pass type	[69262 109018913]
2	ai flag+is force pattern+passive object sub type+passive object type+time	[200069 200070]
2	piercing power	[19242 19244]
2	basic action+etc action+etc attack info+ignore change map	[15336 61891]
2	basic action+damage stun off+hp destroy+hp max+pass type+passive object type	[64097 64201]
2	basic action+pass type+piercing power+quest type	[10362 120495]
2	attack info+basic action+etc action+etc attack info+pass type+piercing power+team	[11256 15293]
2	attack info+basic action+etc action+etc attack info+piercing power+team+vanish on move collision	[37123 37124]
2	basic action+etc action+hp destroy+hp gage+hp max+last action+pass type+team	[61991 80022]
2	basic action+etc attack info+piercing power	[80360 80361]
2	basic action+last action+team	[18895 56005]
2	basic action+etc attack info+piercing power+team	[72315 109000259]
2	basic action+etc action+etc attack info+object destroy condition	[67213 67269]
2	basic action+hp destroy+hp max+ignore change map+is hp by difficulty+pass type+piercing power+team	[18484 18485]
2	down arrow data+move pos+passive object sub type+passive object type+time	[121000 121002]
2	basic action+etc action+etc attack info+hp destroy+hp max+last action+pass type+team	[72100 76102]
2	basic action+etc action+hp destroy+is hp by difficulty+team	[57762 57763]
2	basic action+etc action+hp destroy+hp max+pass type+piercing power+vanish on move collision	[8875 9005]
2	basic action+etc action+hp destroy+hp max+is hp by difficulty+pass type+reward type+team	[16111 16112]
2	hp destroy+hp max+pass type+reward type	[10197 10198]
2	basic action+etc action+etc attack info+hp destroy+hp max+last action+pass type+sniper type+wait time	[48344 69268]
2	apply physics+attack info+basic action+etc action+pass type+piercing power+team+vanish on move collision	[10286 120007]
2	basic action+etc action+pass type+piercing power+piercing tolerance	[57590 76100]
2	basic action+etc action+etc attack info+pass type+piercing power	[52938 72126]
2	basic action+hp destroy+hp gage+hp max+is hp by difficulty+max distance+min distance+pass type+piercing power+warning	[11245 121265]
2	basic action+etc action+etc attack info+hp destroy+hp max+last action+pass type+trap	[52883 52928]
2	basic action+hp destroy+hp max+last action	[109004804 109004805]
2	basic action+etc action+etc attack info+hp destroy+hp gage+hp gage visible time+hp max+last action+team	[74337 74338]
2	basic action+hp destroy+hp max+object destroy condition+pass type+team+trap	[109000421 109000422]
2	basic action+object destroy condition	[54144 109002459]
2	is hp by difficulty+pass type+piercing power	[1065 121114]
2	attack info+basic action+hp destroy+piercing power	[2090016 2090017]
2	down arrow data+look direction+passive object sub type+passive object type+time	[121019 121037]
2	hp destroy+hp max+pass type+piercing power+team	[19071 19073]
2	basic action+hp destroy+pass type+piercing power+team+vanish on move collision	[18151 37080]
2	basic action+etc action+etc attack info+hp destroy+hp max+piercing power+team	[109018873 109018874]
1	basic action+pass type+piercing power+piercing tolerance	[57588]
1	basic action+hp destroy+hp gage+hp gage visible time+hp max+pass type+team	[71021]
1	passive object sub type+passive object type+target object index+target object type+time	[121015]
1	ai flag+look direction+passive object sub type+passive object type+set pos+target object index+target object type+time	[121012]
1	basic action+etc action+hp destroy+hp gage+hp max+is hp by difficulty+max distance+min distance+pass type+piercing power+team+trap+warning	[80354]
1	down arrow data+passive object sub type+passive object type+set pos+target object index+target object type+time	[121003]
1	basic action+etc action+hp destroy+hp max+is hp by difficulty+pass type+piercing power	[64252]
1	attack info+etc attack info+hp max+piercing power+vanish on move collision	[48362]
1	basic action+etc action+hp destroy+hp max+piercing power+vanish on move collision	[37103]
1	down arrow data+move pos+passive object sub type+passive object type+target object index+target object type+time	[121036]
1	basic action+etc action+pass type+piercing power+team+vanish on move collision	[10060]
1	attack info+basic action+etc action+etc attack info+hp destroy+hp max+last action+piercing power+team	[80364]
1	basic action+object destroy condition+pass type+team	[9332]
1	basic action+etc action+etc attack info+hp destroy+hp max+pass type+piercing power	[80368]
1	basic action+etc action+object destroy condition+pass type+piercing power	[2093151]
1	basic action+etc action+etc attack info+hp destroy+hp max+is hp by difficulty+object destroy condition+pass type+piercing power+team	[16120]
1	ai flag+is not focus+look direction+npc dialog npc index+npc dialog text+passive object sub type+passive object type+set pos+target object index+target object type+time	[120561]
1	attack info+basic action+hp destroy+hp max+pass type+piercing power	[10058]
1	basic action+hp destroy+hp max+last action+object destroy condition+pass type+team	[57586]
1	basic action+last action+pass type+piercing power+team	[109021442]
1	basic action+damage stun off+hp destroy+hp max+last action+pass type+passive object type	[109007048]
1	attack info+basic action+etc action+hp destroy+hp max+pass type+piercing power+reward type+team	[52853]
1	basic action+etc action+hp destroy+ignore change map+pass type	[37074]
1	attack info+hp destroy+hp max+object destroy condition+pass type+piercing power+team	[61894]
1	attack info+basic action+dungeon difficult king+dungeon difficult slayer+etc action+etc attack info+piercing power+team+vanish on move collision	[53564]
1	basic action+etc action+etc attack info+hp destroy+hp gage+hp gage visible time+hp max+last action	[109000835]
1	basic action+pass type+piercing power+piercing tolerance+team	[80303]
1	basic action+etc action+hp max+pass type+vanish on move collision	[109007032]
1	basic action+etc action+etc attack info+object destroy condition+piercing power+team	[120754]
1	ai flag+down arrow data+passive object sub type+passive object type+set pos+target object index+target object type+time	[121001]
1	basic action+etc action+object destroy condition+pass type+vanish on move collision	[200276]
1	attack info+basic action+hp destroy+hp max+pass type+piercing power+team	[76098]
1	attack info+basic action+homing+homing check gap+homing follow+homing time+homing use+homing velocity+object destroy condition+pass type+piercing power+team	[2092124]
1	etc action+pass type	[54842]
1	basic action+etc action+pass type+piercing power+piercing tolerance+team	[57582]
1	basic action+etc action+etc attack info+hp destroy+hp max+is hp by difficulty+piercing power	[72142]
1	basic action+etc action+hp destroy+hp max+object destroy condition+pass type+team	[200126]
1	attack info+basic action+last action+pass type	[18924]
1	down arrow data+look direction+move pos+passive object sub type+passive object type+target object index+target object type+time	[121038]
1	basic action+is hp by difficulty+pass type+team	[109000580]
1	basic action+etc action+etc attack info+hp max+pass type+piercing power	[109000547]
1	basic action+etc action+hp gage+hp max+pass type+piercing power	[48358]
1	attack info+basic action+etc action	[2092142]
1	basic action+etc action+etc attack info+last action+piercing power+vanish on move collision	[54555]
1	basic action+etc action+hp destroy+hp max+last action+pass type+team+trap	[8104]
1	basic action+hp destroy+hp max	[2092427]
1	basic action+etc action+hp destroy+hp gage+hp max+is hp by difficulty+last action+pass type+piercing power+reward type+team	[69014]
1	basic action+ignore change map+pass type+piercing power	[52917]
1	attack info+basic action+object destroy condition+piercing power	[2092121]
1	basic action+etc action+etc attack info+hp destroy+hp max+last action	[18553]
1	basic action+etc action+hp destroy+hp max+pass type+piercing power+piercing tolerance+team	[52800]
1	basic action+hp destroy	[2092473]
1	basic action+pass type+team+trap	[80306]
1	attack info+hp destroy+hp max+is hp by difficulty+pass type+piercing power+team+vanish on move collision	[9000]
1	basic action+etc action+etc attack info+hp max+max distance+min distance+pass type+piercing power+warning	[11220]
1	attack info+basic action+etc action+etc attack info+hp destroy+pass type+piercing power	[85090]
1	basic action+hp destroy+hp gage+hp max+is hp by difficulty+pass type+piercing power+team	[8922]
1	hp max+pass type	[54862]
1	basic action+ignore change map+pass type	[37102]
1	basic action+etc action+etc attack info+hp max+last action+team	[67215]
1	attack info+basic action+object destroy condition+pass type+piercing power	[48094]
1	move pos+passive object sub type+passive object type+target object index+target object type+time	[121011]
1	basic action+pass type+pvp room transparent value for observer	[8814]
1	attack info+basic action+hp max+last action+pass type+piercing power+team	[56011]
1	down arrow data+look direction+passive object sub type+passive object type+set pos+target object index+target object type+time	[121024]
1	ai flag+is force pattern+is not focus+look direction+npc dialog npc index+npc dialog text+passive object sub type+passive object type+set pos+target object index+target object order+target object type+time	[400068]
1	basic action+etc action+hp destroy+hp gage+hp max+team	[2092483]
1	ai flag+hp rate+look direction+passive object sub type+passive object type+set pos+target object index+target object type+time	[121030]
1	attack info+basic action+pass type+team	[74186]
1	attack info+basic action+etc action+etc attack info+matching attack info+pass type+piercing power	[52579]
1	ai flag+move pos+passive object sub type+passive object type+target object index+target object type+time	[121008]
1	basic action+etc action+etc attack info+hp destroy+hp max+last action+max distance+min distance+pass type+piercing power+team+warning	[15087]
1	ai flag+down arrow data+passive object sub type+passive object type+set movie back ground+set pos+target object index+target object type+time	[121004]
1	basic action+etc action+etc attack info+hp destroy+hp gage+is hp by difficulty+last action+object destroy condition+pass type+team	[109000400]
1	apply physics+basic action+etc action+etc attack info+pass type+piercing power+team+vanish on move collision	[73000]
1	look direction+passive object sub type+passive object type+set pos+target object index+target object type+time	[121017]
1	basic action+etc action+etc attack info+is hp by difficulty+pass type+piercing power+team+trap	[80378]
1	attack info+basic action+homing+homing check gap+homing follow+homing use+homing velocity+last action+object destroy condition+pass type+piercing power	[8614]
1	basic action+draw hit object hp+etc action+hp destroy+hp max+is hp by difficulty+pass type	[64249]
1	ai flag+passive object sub type+passive object type+set on proc+time	[121014]
1	basic action+draw hit object hp+etc action+hp destroy+hp gage+hp max+pass type	[76326]
1	hp gage+is hp by difficulty+object destroy condition+pass type+piercing power	[61982]
1	basic action+etc action+hp destroy+hp max+last action+pass type+piercing power	[64082]
1	down arrow data+look direction+passive object sub type+passive object type+set pos+time	[121018]
1	basic action+etc action+hp destroy+hp max+last action+pass type+trap	[80282]
1	basic action+create delay+pass type+piercing power+piercing tolerance	[63200]
1	basic action+etc action+max distance+min distance+pass type+piercing power+team+warning	[11236]
1	attack info+hp destroy+hp max+last action+object destroy condition+pass type+piercing power+team	[61898]
1	basic action+etc action+hp destroy+hp max+is hp by difficulty+max distance+min distance+pass type+piercing power+team+warning	[85159]
1	basic action+hp destroy+hp max+object destroy condition	[39039]
1	attack info+basic action+etc action+etc attack info+hp destroy+hp max+piercing power+team+vanish on move collision	[18094]
