object_id	monster_code	count	maps	dungeons	obj_ref
777	260	4	[3635 58680]	[24]	MapObject/BreakableObject/WhiteNightLongPot.obj
777	263	2	[3622 53480]	[24]	MapObject/BreakableObject/WhiteNightLongPot.obj
779	250	22	[3805 3806 3808 3811 3814 3815 58690 58691]	[25]	MapObject/BreakableObject/1stBackboneLongPot.obj
779	252	2	[3806]	[25]	MapObject/BreakableObject/1stBackboneLongPot.obj
779	253	3	[3811]	[25]	MapObject/BreakableObject/1stBackboneLongPot.obj
779	260	1	[3821]	[25]	MapObject/BreakableObject/1stBackboneLongPot.obj
815	403	66	[4201 4202 4203 4204 4206 4207 4208 4212 4218 4221 4222 4223 4224 4225 4226 4227 4228 4229 4231 4232 4233 4234 4235 4403 4404 4427 34011 58719 58720 58722 58723 58724 58725 58726]	[31 32 3011]	MapObject/BreakableObject/ShallowKeepCoffin.obj
815	404	15	[4204 4207 4220 4221 4222 4224 4225 4229 4233 4234 4235 34011 58724 58726]	[31 3011]	MapObject/BreakableObject/ShallowKeepCoffin.obj
815	420	3	[34012]	[3012]	MapObject/BreakableObject/ShallowKeepCoffin.obj
815	600	19	[4213 4214 4215 4216 4231 4236 58718]	[31]	MapObject/BreakableObject/ShallowKeepCoffin.obj
815	602	1	[4231]	[31]	MapObject/BreakableObject/ShallowKeepCoffin.obj
815	1000	13	[5407 5410 5413 5417 5419 5423 58825]	[35]	MapObject/BreakableObject/ShallowKeepCoffin.obj
815	1001	2	[5407 5410]	[35]	MapObject/BreakableObject/ShallowKeepCoffin.obj
830	404	1	[58835]	[34]	MapObject/BreakableObject/MagmaCoffin.obj
830	408	1	[58833]	[34]	MapObject/BreakableObject/MagmaCoffin.obj
1015	2	10	[216 218 221 222 408 422 424]	[3 4]	MapObject/Trap/GoblinBunker/GoblinBunker.obj
1015	3	48	[240 405 407 408 410 411 413 416 418 419 420 422 423 424 428 436 448 453 455 458 461 462 1405 1409 1412]	[3 4 9]	MapObject/Trap/GoblinBunker/GoblinBunker.obj
1015	4	66	[240 405 407 409 410 411 413 416 417 418 419 420 422 423 424 428 436 448 453 455 458 461 462 1006 1007 1008 1009 1010 1011 1012 1013 1014 1015 1018 1020 1021 1022 1023 1025 1026]	[3 4 7]	MapObject/Trap/GoblinBunker/GoblinBunker.obj
1015	5	2	[422 428]	[4]	MapObject/Trap/GoblinBunker/GoblinBunker.obj
1015	6	18	[407 409 410 411 413 416 417 420 422 423 428 462 1006 1009]	[4 7]	MapObject/Trap/GoblinBunker/GoblinBunker.obj
1015	7	6	[1007 1011 1013 1014 1015 1031]	[7]	MapObject/Trap/GoblinBunker/GoblinBunker.obj
1015	8	6	[1405 1407 1409 1416]	[9]	MapObject/Trap/GoblinBunker/GoblinBunker.obj
1112	56716	3	[16408 76384 400263]	[53]	MapObject/Obstacle/ElevatorSummon.obj
8496	1	6	[16100 53070]	[62 7100]	MapObject/Trap/GoblinBunker/Im_GoblinBunker.obj
8938	62014	30	[6501 6516 6517 58914 76350 76362 76364 76374 76376 400233]	[52]	ActionObject/Map/BloodButterfly/Trap_2.obj
8938	62015	13	[6501 6516 58914 76350 76362 76374 400233]	[52]	ActionObject/Map/BloodButterfly/Trap_2.obj
8939	62014	10	[6501 6516 58914 76350 76362 76374 400233]	[52]	ActionObject/Map/BloodButterfly/Trap_1.obj
8939	62015	9	[6516 6517 76362 76364 76374 76376]	[52]	ActionObject/Map/BloodButterfly/Trap_1.obj
10231	61479	101	[16400 16404 16405 16410 16413 16415 16416 16417 16418 16422 16423 16424 16425 16426 16429 16433 16435 76392 76393 76395 76405 400266 400267 400299]	[53]	ActionObject/Map/suspicion/mimicbox.obj
10362	56025	1	[15083]	[67]	ActionObject/Monster/dimensiongate/blackearth/michaela/micha.obj
14057	61801	15	[17045 21314 21476 21490 32503]	[89]	ActionObject/Map/GentDefence/GentDefence_Wave1.obj
14057	61803	5	[17045 21314 21476 21490 32503]	[89]	ActionObject/Map/GentDefence/GentDefence_Wave1.obj
14058	61801	10	[17045 21314 21476 21490 32503]	[89]	ActionObject/Map/GentDefence/GentDefence_Wave1_2.obj
14058	61803	10	[17045 21314 21476 21490 32503]	[89]	ActionObject/Map/GentDefence/GentDefence_Wave1_2.obj
14059	56713	2	[22410 95148]	[80]	ActionObject/Map/GentDefence/GentDefence_Wave1_3.obj
14059	59013	5	[17045 21314 21476 21490 32503]	[89]	ActionObject/Map/GentDefence/GentDefence_Wave1_3.obj
14059	61494	5	[17045 21314 21476 21490 32503]	[89]	ActionObject/Map/GentDefence/GentDefence_Wave1_3.obj
14060	61801	10	[17045 21314 21476 21490 32503]	[89]	ActionObject/Map/GentDefence/GentDefence_Wave2.obj
14060	61803	10	[17045 21314 21476 21490 32503]	[89]	ActionObject/Map/GentDefence/GentDefence_Wave2.obj
14061	61801	10	[17045 21314 21476 21490 32503]	[89]	ActionObject/Map/GentDefence/GentDefence_Wave2_2.obj
14061	61803	10	[17045 21314 21476 21490 32503]	[89]	ActionObject/Map/GentDefence/GentDefence_Wave2_2.obj
14062	59015	5	[17045 21314 21476 21490 32503]	[89]	ActionObject/Map/GentDefence/GentDefence_Wave2_3.obj
14062	61494	5	[17045 21314 21476 21490 32503]	[89]	ActionObject/Map/GentDefence/GentDefence_Wave2_3.obj
14063	61801	10	[17045 21314 21476 21490 32503]	[89]	ActionObject/Map/GentDefence/GentDefence_Wave3.obj
14063	61803	10	[17045 21314 21476 21490 32503]	[89]	ActionObject/Map/GentDefence/GentDefence_Wave3.obj
14064	61801	10	[17045 21314 21476 21490 32503]	[89]	ActionObject/Map/GentDefence/GentDefence_Wave3_2.obj
14064	61803	10	[17045 21314 21476 21490 32503]	[89]	ActionObject/Map/GentDefence/GentDefence_Wave3_2.obj
14065	59014	5	[17045 21314 21476 21490 32503]	[89]	ActionObject/Map/GentDefence/GentDefence_Wave3_3.obj
14065	61494	5	[17045 21314 21476 21490 32503]	[89]	ActionObject/Map/GentDefence/GentDefence_Wave3_3.obj
16316	112037	2	[112003]	[112000]	ActionObject/Map/LargusLake/Summon_Time.obj
16316	112038	2	[112003]	[112000]	ActionObject/Map/LargusLake/Summon_Time.obj
61982	61337	8	[16101 53071]	[62 7100]	ActionObject/monster/dimensiongate/new_pattern/GoblinKingdom/GoblinBunker/Im_GoblinBunker.obj
61982	61338	6	[16101 53071]	[62 7100]	ActionObject/monster/dimensiongate/new_pattern/GoblinKingdom/GoblinBunker/Im_GoblinBunker.obj
61982	61339	8	[16101 53071]	[62 7100]	ActionObject/monster/dimensiongate/new_pattern/GoblinKingdom/GoblinBunker/Im_GoblinBunker.obj
61987	120061	6	[39122 53077]	[183]	ActionObject/Monster/dimensiongate_tutorial/goblinKingdom/GoblinBunker/Im_GoblinBunker.obj
61987	120062	4	[39122 53077]	[183]	ActionObject/Monster/dimensiongate_tutorial/goblinKingdom/GoblinBunker/Im_GoblinBunker.obj
61987	120089	4	[39122 53077]	[183]	ActionObject/Monster/dimensiongate_tutorial/goblinKingdom/GoblinBunker/Im_GoblinBunker.obj
120172	120058	18	[39121 39156 39157 53076 53082 53083 53088 53089]	[183]	ActionObject/Monster/dimensiongate_tutorial/goblinKingdom/Im_GoblinBunker.obj
120495	57043	2	[39116 39154]	[182]	ActionObject/Monster/dimensiongate_tutorial/blackearth/micha.obj
109000579	1000	6	[58824]	[35]	ActionObject/Map/Cataclysm/Alflaylah/DarkelfCemetary/Coffin/DC_Coffin.obj
109006903	1	1	[58550]	[3]	ActionObject/Map/Cataclysm/Granflores/Mirkwood/Barrel/Barrel_Mirkwood.obj
109006903	3	1	[58553]	[3]	ActionObject/Map/Cataclysm/Granflores/Mirkwood/Barrel/Barrel_Mirkwood.obj
109006903	4	1	[58553]	[3]	ActionObject/Map/Cataclysm/Granflores/Mirkwood/Barrel/Barrel_Mirkwood.obj
109006903	5	1	[58550]	[3]	ActionObject/Map/Cataclysm/Granflores/Mirkwood/Barrel/Barrel_Mirkwood.obj
109006905	3	3	[58564 58567]	[6]	ActionObject/Map/Cataclysm/Granflores/Thunderland_Poison/Barrel/Barrel_ThunderlandPoison.obj
109006905	6	1	[58567]	[6]	ActionObject/Map/Cataclysm/Granflores/Thunderland_Poison/Barrel/Barrel_ThunderlandPoison.obj
109006906	5	1	[58571]	[9]	ActionObject/Map/Cataclysm/Granflores/Frost_Mirkwood/Barrel/Barrel_Frost_Mirkwood.obj
109006906	10	1	[58570]	[9]	ActionObject/Map/Cataclysm/Granflores/Frost_Mirkwood/Barrel/Barrel_Frost_Mirkwood.obj
109006907	4	2	[58585 58586]	[8]	ActionObject/Map/Cataclysm/Granflores/GrakKarak/Barrel/Barrel_GrakKarak.obj
109006908	12	1	[58592]	[1000]	ActionObject/Map/Cataclysm/Granflores/Dark_thunderland/Barrel/Barrel_Dark_thunderland.obj
109006908	210	1	[58595]	[1000]	ActionObject/Map/Cataclysm/Granflores/Dark_thunderland/Barrel/Barrel_Dark_thunderland.obj
109006908	5002	1	[58592]	[1000]	ActionObject/Map/Cataclysm/Granflores/Dark_thunderland/Barrel/Barrel_Dark_thunderland.obj
109006930	403	20	[4401 4410 4411 4412 4413 4416 4423 4424 4426 58727 58729 58730]	[32]	ActionObject/Map/Cataclysm/Alflaylah/MarpissaLair/Coffin/SC_Coffin.obj
109006930	420	29	[4408 4414 4417 4418 4419 4420 4421 4422 4425 58735 58736]	[32]	ActionObject/Map/Cataclysm/Alflaylah/MarpissaLair/Coffin/SC_Coffin.obj
109006931	403	2	[5004 91454]	[34]	ActionObject/Map/Cataclysm/Alflaylah/lava_cave/Coffin/LC_Coffin.obj
109006931	404	2	[5004 91454]	[34]	ActionObject/Map/Cataclysm/Alflaylah/lava_cave/Coffin/LC_Coffin.obj
109006931	408	6	[5008 5010 58832 91456]	[34]	ActionObject/Map/Cataclysm/Alflaylah/lava_cave/Coffin/LC_Coffin.obj
109006931	601	4	[5007 58837]	[34]	ActionObject/Map/Cataclysm/Alflaylah/lava_cave/Coffin/LC_Coffin.obj
109007016	3	11	[58570 58571 58572 58574]	[9]	ActionObject/Map/Cataclysm/Granflores/Frost_Mirkwood/Goblin_bunker/Frost_Mirkwood_GoblinBunker.obj
109007016	8	9	[58570 58571 58572 58574]	[9]	ActionObject/Map/Cataclysm/Granflores/Frost_Mirkwood/Goblin_bunker/Frost_Mirkwood_GoblinBunker.obj
109007017	4	4	[58577]	[7]	ActionObject/Map/Cataclysm/Granflores/GrakKarak/Goblin_bunker/GrakKarak_GoblinBunker.obj
109007017	7	4	[58577]	[7]	ActionObject/Map/Cataclysm/Granflores/GrakKarak/Goblin_bunker/GrakKarak_GoblinBunker.obj
